Sample,Moisture,SKCl,SHCl,CRS,pHKCl,RA,NA,TOC
H1-0-10,82.9,0.007,0.061,0.018,4.36,0.107,301,18.7
H1-40-50,62.1,0,0,0.025,5.05,0,107,10.7
H1-90-100,16.6,0,0,0.0025,5.37,0,23,0.59
H2-0-10,75.1,0.009,0.046,0.027,4.49,0.074,265,16.4
H2-40-50,47.8,0,0,0.012,4.97,0,83,7.13
H2-70-80-1,27,0,0,0.009,5.39,0,43,2.54
H2-70-80-2,27,0,0,0.009,5.39,0,43,2.54
H3-0-10,78.3,0,0,0.046,4.75,0,176,15.2
H3-40-50-1,53.9,0,0,0.038,4.88,0,104,10.5
H3-40-50-2,53.9,0,0,0.038,4.88,0,104,10.5
H3-60-70,31.1,0,0,0.021,5.31,0,53,3.1
H4-0-10,85.4,0.006,0.036,0.023,4.35,0.06,324,22.8
H4-130-140,73.7,0.0002,0.011,0.03,4.42,0.023,70,21.3
H4-40-50,78.1,0.004,0.025,0.073,4.33,0.041,331,21.1
H5-0-10,78.8,0.006,0.049,0.023,4.17,0.086,344,20.8
H5-40-50-1,74.4,0.003,0.03,0.031,4.46,0.053,255,20.8
H5-40-50-2,74.4,0.003,0.03,0.031,4.46,0.053,255,20.8
H5-70-80,65.2,0.003,0.024,0.036,4.48,0.042,228,18.2
H6-100-110,75.1,0.003,0.015,0.045,4.32,0.025,109,19.3
H6-40-50-2,73.8,0.009,0.021,0.039,4.38,0.026,216,14.7
H6-0-10,75.5,0.003,0.016,0.028,4.47,0.026,236,20.9
H6-40-50-1,73.8,0.009,0.021,0.039,4.38,0.026,216,14.7
